Job ID,Predicted Time,Actual Time,Time Difference
3543779,2018-07-11 01:10:09,None,None,
3535140,2018-07-10 15:57:04,None,None,
3435534,2018-07-11 20:00:00,None,None,
3543327,2018-07-11 20:00:00,None,None,
3544290_[18-20],2018-07-11 11:00:01,None,None,
3538706,2018-07-11 20:00:00,None,None,
3539252,2018-07-11 20:00:00,None,None,
3539246,2018-07-11 20:00:00,None,None,
3542786,2018-07-11 20:00:00,None,None,
3543190,2018-07-11 20:00:00,None,None,
3486770,2018-07-10 11:30:01,None,None,
3478037,2018-07-11 20:00:00,None,None,
3548045,2018-07-10 11:30:01,2018-07-10 10:20:29,1:09:32,
3547771_[1-20],2018-07-10 15:59:11,None,None,
3541999,2018-07-11 20:00:00,None,None,
3548049,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3539257,2018-07-11 20:00:00,None,None,
3542783,2018-07-11 20:00:00,None,None,
3543331,2018-07-11 20:00:00,None,None,
3543836,2018-07-10 15:57:04,None,None,
3480901,2018-07-11 20:00:00,None,None,
3548059,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3434161,2018-07-11 20:00:00,None,None,
3543924,2018-07-10 15:57:04,None,None,
3546225,2018-07-10 11:30:01,None,None,
3543330,2018-07-11 20:00:00,None,None,
3543927,2018-07-10 15:57:04,None,None,
3497333,2018-07-11 20:00:00,None,None,
3486835,2018-07-11 20:00:00,None,None,
3546224,2018-07-10 11:30:01,None,None,
3548047,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3546204,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3539278,2018-07-11 20:00:00,None,None,
3542845,2018-07-11 20:00:00,None,None,
3547953,2018-07-10 17:34:26,None,None,
3547766_[14-20],2018-07-10 14:27:21,None,None,
3546210,2018-07-10 11:30:01,None,None,
3542000,2018-07-11 20:00:00,None,None,
3546222,2018-07-10 11:30:01,None,None,
3482342,2018-07-11 20:00:00,None,None,
3543990,2018-07-11 02:41:43,2018-07-10 10:40:46,16:00:57,
3543517,2018-07-11 01:10:09,None,None,
3473652,2018-07-11 20:00:00,None,None,
3548039,2018-07-10 11:30:01,2018-07-10 10:18:24,1:11:37,
3548026,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3543839,2018-07-10 15:57:04,None,None,
3474697,2018-07-11 20:00:00,None,None,
3548048,2018-07-10 11:30:01,2018-07-10 10:22:32,1:07:29,
3535139,2018-07-11 15:16:14,None,None,
3486751,2018-07-10 11:30:01,None,None,
3364621,2018-07-10 15:57:04,None,None,
3497453,2018-07-11 20:00:00,None,None,
3486760,2018-07-10 11:30:01,None,None,
3543198,2018-07-11 20:00:00,None,None,
3546226,2018-07-10 11:30:01,None,None,
3543780,2018-07-11 06:28:24,None,None,
3546218,2018-07-10 11:30:01,None,None,
3540438,2018-07-10 16:28:31,None,None,
3486783,2018-07-10 11:30:01,None,None,
3543222,2018-07-11 20:00:00,None,None,
3543195,2018-07-11 20:00:00,None,None,
3539236,2018-07-11 20:00:00,None,None,
3546203,2018-07-10 11:30:01,2018-07-10 10:28:41,1:01:20,
3540431,2018-07-10 16:28:31,None,None,
3511356,2018-07-11 20:00:00,None,None,
3478036,2018-07-11 20:00:00,None,None,
3543220,2018-07-11 20:00:00,None,None,
3539282,2018-07-11 20:00:00,None,None,
3540430,2018-07-10 16:28:31,None,None,
3486768,2018-07-10 11:30:01,None,None,
3548031,2018-07-10 11:30:01,2018-07-10 10:14:13,1:15:48,
3543165,2018-07-11 20:00:00,None,None,
3486761,2018-07-10 11:30:01,None,None,
3478366,2018-07-11 20:00:00,None,None,
3543930,2018-07-10 15:57:04,None,None,
3541952,2018-07-10 18:00:01,None,None,
3539270,2018-07-11 20:00:00,None,None,
3539247,2018-07-11 20:00:00,None,None,
3547935,2018-07-10 14:31:02,None,None,
3540434,2018-07-10 16:28:31,None,None,
3486683,2018-07-10 11:30:01,None,None,
3542787,2018-07-11 20:00:00,None,None,
3486839,2018-07-11 20:00:00,None,None,
3535138,2018-07-10 15:57:04,None,None,
3497330,2018-07-11 20:00:00,None,None,
3541619,2018-07-10 15:57:04,None,None,
3434461,2018-07-11 20:00:00,None,None,
3539244,2018-07-11 20:00:00,None,None,
3539265,2018-07-11 20:00:00,None,None,
3486830,2018-07-11 20:00:00,None,None,
3486829,2018-07-11 20:00:00,None,None,
3486833,2018-07-11 20:00:00,None,None,
3482341,2018-07-11 20:00:00,None,None,
3539264,2018-07-11 20:00:00,None,None,
3539266,2018-07-11 20:00:00,None,None,
3542847,2018-07-11 20:00:00,None,None,
3543187,2018-07-11 20:00:00,None,None,
3486688,2018-07-10 11:30:01,None,None,
3541206_[1-2],2018-07-11 01:10:09,None,None,
3542784,2018-07-11 20:00:00,None,None,
3544051,2018-07-10 16:32:54,None,None,
3497346,2018-07-11 20:00:00,None,None,
3546214,2018-07-10 11:30:01,None,None,
3435192,2018-07-10 16:28:31,None,None,
3520467,2018-07-11 20:00:00,None,None,
3548058,2018-07-10 11:30:01,2018-07-10 10:24:35,1:05:26,
3539258,2018-07-11 20:00:00,None,None,
3539269,2018-07-11 20:00:00,None,None,
3539248,2018-07-11 20:00:00,None,None,
3364630,2018-07-10 15:57:04,None,None,
3543189,2018-07-11 20:00:00,None,None,
3486784,2018-07-10 11:30:01,None,None,
3486763,2018-07-10 11:30:01,None,None,
3535141,2018-07-11 17:43:27,None,None,
3539273,2018-07-11 20:00:00,None,None,
3546206,2018-07-10 11:30:01,None,None,
3543200,2018-07-11 20:00:00,None,None,
3547964,2018-07-11 20:00:00,None,None,
3364607,2018-07-10 15:57:04,None,None,
3486765,2018-07-10 11:30:01,None,None,
3547769_[1-20],2018-07-10 14:31:02,None,None,
3434388,2018-07-11 20:00:00,None,None,
